experiment,scaler,encoder,model,mse,r2,mae,rmse,training_time,inference_time
model_randomforest_tuned,standard,onehot,randomforest,9.022473577577882,0.9685985268911756,2.0310950554111846,3.00374326092925,9.559437036514282,0.07007694244384766
model_gradientboosting_tuned,standard,onehot,gradientboosting,29.13950867256406,0.8985839647943291,4.196947905387151,5.398102321424082,3.9271128177642822,0.005845785140991211
baseline_all_features,standard,onehot,linear,50.56521067837515,0.8240147682665433,5.716904657631528,7.1109219288623295,0.015252113342285156,0.0013680458068847656
model_lasso_tuned,standard,onehot,lasso,50.56660709633648,0.8240099082267012,5.716790774310348,7.111020116434525,0.010655879974365234,0.0014560222625732422
model_ridge_tuned,standard,onehot,ridge,50.5708533825233,0.8239951296141221,5.717382832819649,7.111318680984794,0.00900411605834961,0.0015287399291992188
ablate_synthetic,standard,onehot,linear,50.91593868119294,0.82279410789505,5.739350989457891,7.135540531816279,0.009359121322631836,0.001302957534790039
ablate_lifestyle,standard,onehot,linear,59.180834763010296,0.7940292786241299,6.178571287948205,7.692908082319085,0.006712913513183594,0.0014300346374511719
ablate_screen_time,standard,onehot,linear,63.69684659286649,0.7783119231988086,6.377211538281885,7.981030421747964,0.00891423225402832,0.0014619827270507812
only_study_habits,standard,onehot,linear,93.0018210090322,0.6763200073265485,7.7682533891079695,9.643745175450883,0.0038068294525146484,0.0012540817260742188
ablate_study_habits,standard,onehot,linear,207.39749847081484,0.2781816521742526,11.51228615567488,14.401301971377965,0.008097171783447266,0.00144195556640625
only_lifestyle,standard,onehot,linear,246.32490191311248,0.14270020111991577,12.602335149986997,15.694741218418113,0.004909992218017578,0.0012238025665283203
only_screen_time,standard,onehot,linear,269.54490123430384,0.061886200613078035,13.240416957463363,16.41782267032702,0.0038378238677978516,0.0012099742889404297
only_synthetic,standard,onehot,linear,280.4245454365426,0.024021101656269472,13.4111335935799,16.745881446986974,0.004743099212646484,0.0012159347534179688
